Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,9359.99999999939,NaN,4380000,1,8760,8760
OTS,54679.149837478,NaN,4380000,1,8760,8760
