Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,150360,150447.382146439,74898.0000000155,0.003,26.28,26.28
OTS,54679.0402312776,163050.49104976,299592.000000001,0.012,105.12,105.12
