Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,127080,126774.084507042,119836.800000034,0.006,52.56,52.56
OTS,37615.1976162284,37515.9059561129,858830.400000003,0.043,376.68,376.68
