Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,127080,126774.084507042,149796.000000015,0.006,52.56,52.56
OTS,37615.4187120245,37516.427244582,773946.000000001,0.031,271.56,271.56
