Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,107280,126798.169014085,149796.00000001,0.006,52.56,52.56
OTS,37617.6994554635,37523.4997458058,411939,0.0165,144.54,144.54
