Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,107280,114939.425731257,1.419750333298e-07,0,0,0
OTS,93780.0029999999,103109.077216245,27331.2000000037,0.02,175.2,175.2
