Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,150360,22197.6458752509,37449.0000000832,0.006,52.56,52.56
OTS,54679.1410916925,33411.175686708,324558.000000002,0.052,455.52,455.52
