Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,41519.9999999995,41607.3821464388,27226.0800000774,0.003,26.28,26.28
OTS,54679.1395530775,52578.7424338501,789556.320000002,0.087,762.12,762.12
