Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,107280,126827.615485697,267136.200000002,0.0107,93.732,93.732
OTS,93780.0029999999,93600.5392362962,287109,0.0115,100.74,100.74
