Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,127080,126727.594244021,362506.320000001,0.0132,115.632,115.632
OTS,93780.0029999999,93520.2551604209,400953.96,0.0146,127.896,127.896
