Case,StaticCost,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,98007.9999999999,65910.2400001761,0.0024,21.024,21.024
OTS,34870.9470888823,27462600,1,8760,8760
