Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,150360,150447.645875251,149796.000000015,0.006,52.56,52.56
OTS,54679.373934,159697.266586249,4269186,0.171,1497.96,1497.96
