Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,107280,NaN,24966000,1,8760,8760
OTS,93780.0029999999,127080,0,0,0,0
