Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,22109.9999999994,22197.6458752509,37449.0000000832,0.006,52.56,52.56
OTS,54679.012892,35293.7546549836,543010.500000003,0.087,762.12,762.12
